ticker,companyName,links
AVLR,Avalara,.
COUP,Coupa,.
SAIL,SailPoint,.
PING,PingIdentity,.
CERN,Cerner,.
NUAN,Nuance,.
PFPT,Proofpoint,.
CLDR,Cloudera,.
MNTV,Momentive,.
NXGN,Nextgen Healthcare,.
BTRS,Billtrust,.
SUMO,Sumo Logic,.
PS,Pluralsight,.
RHT,Red Hat,.
DATA,Tableau,.
ULTI,Ultimate Software,.
ATHN,Athenahealth,.
HDP,Hortonworks,.
ELLI,Ellie Mae,.
CBLK,Carbon Black,.
MB,Mindbody,.
LOGM,LogMeIn,.
VMEO,Vimeo,.
CA,CA Technologies,.
MULE,Mulesoft,.
LNKD,LinkedIn,.
N,NetSuite,.
SWI,SolarWinds,.
APTI,Apptio,.
QLIK,Qlik,.
CNQR,Concur,.
TIBX,Tibco,.
SYMC,Symantec,.
SLH,Solera,.
MSP,Datto,.
BSFT,Broadsoft,.
MDLA,Medallia,.
SQSP,Squarespace,.
ZETA,Zeta,.
CVLT,Commvault,.
OAI,OpenAI,.
ANTH,Anthropic,.
CNVA,Canva,.
MIRO,Miro,.
SCAI,Scale AI,.
GMRL,Grammarly,.
RPLG,Rippling,.
ATBL,Airtable,.
CLNS,Celonis,.
FGMA,Figma,.
GSTO,Gusto,.
NTLB,Notion Labs,.
TALK,Talkdesk,.
OUTS,Outsystems,.
SRVT,ServiceTitan,.
VSTD,Vast Data,.
TAN,Tanium,.
LCWK,Lacework,.
HOPN,Hopin,.
NSKP,NetSkope,.
CRTA,Carta,.
GONG,Gong,.
CRWV,CoreWeave,.
AUTO,Automation Anywhere,.
PASS,OnePassword,.
DRBT,DataRobot,.
PSNO,Personio,.
OS,OneStream,.
WIZ,Wiz,.
CNSQ,ContentSquare,.
FVTN,Fivetran,.
PMAN,Postman,.
OTRS,OneTrust,.
NOVA,SambaNova,.
CLBR,Collibra,.
CHKR,Checkr,.
DTKU,Dataiku,.
SCRE,Socure,.
OUTR,Outreach,.
WOLF,Artic Wolf,.
DMNR,Dataminr,.
ABNM,Abnormal Security,.
AS,AlphaSense,.
BWSR,BrowserStack,.
ARTC,Articulate,.
PPYA,Papaya Global,.
COMM,Commure,.
BKUP,OwnBackup,.
ICRT,Icertis,.
NOW,ServiceNow,.
WDAY,Workday,.
,,https://techcrunch.com/category/enterprise/feed
,,https://techcrunch.com/category/artificial-intelligence/feed
,,https://techcrunch.com/category/security/feed
,,https://techcrunch.com/tag/cloud-computing/feed
,,https://venturebeat.com/category/ai/feed/
,,https://venturebeat.com/category/security/feed/
,,https://venturebeat.com/category/data-infrastructure/feed
,,https://venturebeat.com/category/automation/feed
,,https://venturebeat.com/category/enterprise-analytics/feed
,,https://venturebeat.com/category/virtual/feed
,,https://venturebeat.com/category/programming-development/feed
,,https://venturebeat.com/category/datadecisionmakers/feed
